"participant","predicate","predicate_number","context","context_number","response"
3,"say",8,"2H",25,0.47
3,"inform",12,"10L",36,0.39
3,"be right",6,"20H",3,0.57
3,"see",19,"9L",16,0.41
4,"confirm",4,"16H",17,0.28
4,"reveal",3,"18L",32,0.24
4,"prove",2,"17H",21,0.59
4,"say",8,"3H",33,0.73
4,"admit",13,"14L",14,0.29
4,"hear",16,"4H",40,0.38
4,"be right",6,"8H",1,0.29
4,"acknowledge",5,"1L",37,0.68
4,"be annoyed",9,"15L",7,0.23
4,"suggest",17,"20H",3,0.5
4,"demonstrate",18,"5L",38,0.66
4,"discover",14,"19L",4,0.29
4,"establish",1,"6H",5,0.61
4,"announce",10,"9L",16,0.71
4,"think",7,"7L",19,0.68
4,"see",19,"11L",11,0.21
4,"confess",20,"2H",25,0.41
4,"inform",12,"12H",2,0.72
4,"pretend",15,"10H",18,0.52
4,"know",11,"13L",26,0.31
5,"be right",6,"3L",9,0.27
5,"establish",1,"16L",31,0.25
5,"confess",20,"11H",29,0.88
5,"admit",13,"14L",14,0.05
5,"announce",10,"8L",23,0.17
5,"discover",14,"2L",10,0.02
5,"confirm",4,"1L",37,0.14
5,"inform",12,"4L",12,0.15
5,"prove",2,"12H",2,0.88
5,"demonstrate",18,"18H",6,0.5
5,"pretend",15,"10H",18,0.56
5,"acknowledge",5,"20H",3,0.88
5,"hear",16,"9L",16,0.4
5,"suggest",17,"6H",5,0.81
5,"see",19,"19H",39,0.9
5,"say",8,"7L",19,0.02
5,"know",11,"17H",21,0.93
5,"think",7,"15L",7,0
5,"be annoyed",9,"5H",20,0.75
5,"reveal",3,"13H",8,0.9
6,"reveal",3,"9H",35,0.87
6,"establish",1,"8H",1,0.11
6,"discover",14,"18H",6,0.55
6,"say",8,"19H",39,0.91
6,"prove",2,"7L",19,0.05
6,"demonstrate",18,"20L",27,0.21
6,"admit",13,"4L",12,0.1
6,"know",11,"3H",33,0.62
6,"confirm",4,"5L",38,0.23
6,"be annoyed",9,"16L",31,0.1
6,"be right",6,"13L",26,0.03
6,"inform",12,"14H",22,0.85
6,"hear",16,"2L",10,0.05
6,"acknowledge",5,"10H",18,0.77
6,"pretend",15,"1L",37,0.15
6,"suggest",17,"6H",5,0.78
6,"think",7,"15H",34,0.82
6,"announce",10,"11L",11,0.27
6,"see",19,"17H",21,0.95
6,"confess",20,"12L",28,0.02
7,"confess",20,"3H",33,0
7,"reveal",3,"14H",22,0.01
7,"pretend",15,"19H",39,0.01
7,"prove",2,"1L",37,0.01
7,"be right",6,"13L",26,0.02
7,"hear",16,"9L",16,0.01
7,"know",11,"2L",10,0
7,"think",7,"18L",32,0
7,"suggest",17,"7H",24,0.01
7,"inform",12,"11H",29,0.01
7,"acknowledge",5,"5H",20,0.01
7,"see",19,"8L",23,0.01
7,"be annoyed",9,"10L",36,0
7,"establish",1,"4L",12,0
7,"confirm",4,"17H",21,0.01
7,"discover",14,"15H",34,0.01
7,"announce",10,"16H",17,0
7,"demonstrate",18,"12H",2,0
7,"say",8,"20L",27,0
7,"admit",13,"6L",30,0.01
8,"establish",1,"9H",35,0.61
8,"inform",12,"12L",28,0.93
8,"see",19,"3H",33,0.94
8,"say",8,"18H",6,0.33
8,"know",11,"13L",26,0.82
8,"acknowledge",5,"2L",10,0.97
8,"be right",6,"17L",15,0
8,"pretend",15,"4H",40,0.2
8,"demonstrate",18,"11H",29,0.3
8,"think",7,"15L",7,0.11
8,"be annoyed",9,"5L",38,1
8,"hear",16,"20H",3,0.97
8,"reveal",3,"10H",18,0.98
8,"prove",2,"1H",13,0.06
8,"confess",20,"14L",14,0.56
8,"suggest",17,"7H",24,0.06
8,"admit",13,"6L",30,0.6
8,"discover",14,"8L",23,0.97
8,"confirm",4,"19H",39,0.34
8,"announce",10,"16L",31,0.28
9,"know",11,"14H",22,0.06
9,"pretend",15,"19H",39,0.09
9,"be annoyed",9,"5H",20,1
9,"hear",16,"20H",3,0.74
9,"announce",10,"7H",24,1
9,"suggest",17,"6L",30,0.36
9,"think",7,"16L",31,0.1
9,"confess",20,"12H",2,0
9,"inform",12,"1L",37,0.02
9,"demonstrate",18,"13H",8,0.96
9,"discover",14,"4L",12,0.09
9,"reveal",3,"10H",18,0.69
9,"prove",2,"11L",11,0.29
9,"say",8,"2L",10,0.12
9,"admit",13,"8H",1,1
9,"confirm",4,"18H",6,0.52
9,"see",19,"3L",9,0.26
9,"acknowledge",5,"9L",16,0.16
9,"establish",1,"15L",7,0.87
9,"be right",6,"17L",15,0.49
10,"know",11,"13H",8,1
10,"see",19,"1L",37,1
10,"establish",1,"11L",11,0
10,"confirm",4,"14L",14,0
10,"admit",13,"17L",15,0
10,"pretend",15,"12H",2,0
10,"hear",16,"20L",27,1
10,"acknowledge",5,"5L",38,1
10,"inform",12,"9L",16,1
10,"think",7,"18L",32,0
10,"demonstrate",18,"15H",34,0
10,"discover",14,"2H",25,1
10,"announce",10,"3H",33,0.27
10,"say",8,"16L",31,0
10,"reveal",3,"7H",24,1
10,"confess",20,"8H",1,0.17
10,"prove",2,"6L",30,0
10,"be right",6,"19H",39,0
10,"be annoyed",9,"10H",18,1
10,"suggest",17,"4H",40,0
11,"see",19,"18H",6,0.18
11,"know",11,"16H",17,0.36
11,"acknowledge",5,"4H",40,0.56
11,"reveal",3,"6L",30,0.11
11,"prove",2,"20L",27,0.21
11,"discover",14,"3L",9,0.65
11,"be right",6,"19H",39,0.71
11,"hear",16,"2H",25,0.74
11,"confirm",4,"17H",21,0.67
11,"be annoyed",9,"10L",36,0.04
11,"demonstrate",18,"11L",11,0.08
11,"confess",20,"1L",37,0.01
11,"think",7,"12L",28,0.11
11,"establish",1,"9L",16,0.24
11,"say",8,"13H",8,0.76
11,"pretend",15,"15L",7,0.24
11,"admit",13,"5L",38,0.26
11,"announce",10,"14H",22,0.54
11,"inform",12,"8H",1,0.44
11,"suggest",17,"7H",24,0.35
12,"admit",13,"6L",30,0.46
12,"be annoyed",9,"5L",38,0.68
12,"pretend",15,"4L",12,0.16
12,"hear",16,"13H",8,0.68
12,"be right",6,"12H",2,0.46
12,"think",7,"11H",29,0.39
12,"acknowledge",5,"1H",13,0.74
12,"confess",20,"3L",9,0.52
12,"demonstrate",18,"7H",24,0.63
12,"establish",1,"9L",16,0.57
12,"say",8,"10L",36,0.47
12,"know",11,"8H",1,0.89
12,"suggest",17,"18H",6,0.51
12,"reveal",3,"15L",7,0.63
12,"see",19,"2H",25,0.93
12,"confirm",4,"16L",31,0.48
12,"inform",12,"14H",22,0.44
12,"announce",10,"20L",27,0.4
12,"prove",2,"17H",21,0.33
12,"discover",14,"19L",4,0.83
13,"demonstrate",18,"12H",2,0.04
13,"confirm",4,"19L",4,0.02
13,"be right",6,"14L",14,0.04
13,"discover",14,"5L",38,0.01
13,"prove",2,"2L",10,0
13,"inform",12,"8H",1,0.97
13,"establish",1,"7L",19,0
13,"see",19,"13H",8,0.97
13,"suggest",17,"6H",5,0.03
13,"reveal",3,"17H",21,0.95
13,"announce",10,"20H",3,0.58
13,"think",7,"10L",36,0.03
13,"say",8,"16H",17,0.52
13,"pretend",15,"9L",16,0.18
13,"acknowledge",5,"15H",34,0.89
13,"hear",16,"4L",12,0.97
13,"confess",20,"1L",37,0.32
13,"be annoyed",9,"3H",33,0.93
13,"admit",13,"11H",29,0.81
13,"know",11,"18L",32,0.88
14,"inform",12,"14L",14,0.26
14,"discover",14,"11L",11,0.07
14,"reveal",3,"20L",27,0.05
14,"demonstrate",18,"18H",6,0.8
14,"say",8,"10H",18,0.82
14,"think",7,"4L",12,0.08
14,"admit",13,"19H",39,0.84
14,"establish",1,"8H",1,0.73
14,"know",11,"13L",26,0.09
14,"pretend",15,"7L",19,0
14,"announce",10,"3H",33,0.91
14,"prove",2,"5L",38,0
14,"confess",20,"12H",2,0.8
14,"acknowledge",5,"1L",37,0
14,"confirm",4,"2H",25,0.71
14,"suggest",17,"15L",7,0
14,"be annoyed",9,"9H",35,0.89
14,"be right",6,"16H",17,0.79
14,"see",19,"17L",15,0.05
14,"hear",16,"6H",5,0.67
15,"see",19,"16H",17,0.98
15,"inform",12,"14L",14,1
15,"hear",16,"5L",38,0.98
15,"suggest",17,"8H",1,0.01
15,"discover",14,"7H",24,1
15,"reveal",3,"4H",40,1
15,"acknowledge",5,"11H",29,0.99
15,"say",8,"18H",6,0.01
15,"pretend",15,"20L",27,0.03
15,"establish",1,"6L",30,0.01
15,"confess",20,"9H",35,0.97
15,"think",7,"10L",36,0
15,"be right",6,"12L",28,0
15,"demonstrate",18,"1H",13,0.02
15,"know",11,"19H",39,0.98
15,"announce",10,"15L",7,0.97
15,"be annoyed",9,"2L",10,1
15,"admit",13,"3H",33,1
15,"confirm",4,"17L",15,0
15,"prove",2,"13L",26,0
16,"hear",16,"4H",40,0.86
16,"establish",1,"2H",25,0.42
16,"prove",2,"12L",28,0.54
16,"say",8,"3H",33,0.31
16,"demonstrate",18,"11L",11,0.31
16,"admit",13,"20H",3,0.61
16,"inform",12,"18L",32,0.86
16,"confirm",4,"9L",16,0.34
16,"see",19,"1H",13,1
16,"reveal",3,"19H",39,0.68
16,"know",11,"17H",21,0.78
16,"acknowledge",5,"14H",22,0.86
16,"think",7,"15L",7,0.21
16,"be annoyed",9,"10L",36,0.91
16,"suggest",17,"13L",26,0.2
16,"pretend",15,"16L",31,0.04
16,"confess",20,"5L",38,0.41
16,"announce",10,"7L",19,0.65
16,"discover",14,"8H",1,0.69
16,"be right",6,"6H",5,0.55
17,"see",19,"5H",20,0.77
17,"discover",14,"10H",18,0.78
17,"pretend",15,"20L",27,0.14
17,"think",7,"7L",19,0.06
17,"prove",2,"9H",35,0.3
17,"know",11,"6H",5,0.71
17,"hear",16,"16L",31,0.78
17,"inform",12,"19H",39,0.71
17,"say",8,"17L",15,0
17,"confirm",4,"4H",40,0.18
17,"be annoyed",9,"1H",13,0.89
17,"announce",10,"13L",26,0.07
17,"be right",6,"8L",23,0.23
17,"demonstrate",18,"3H",33,0.65
17,"confess",20,"18H",6,0.64
17,"establish",1,"15L",7,0.15
17,"acknowledge",5,"12H",2,0.67
17,"admit",13,"2L",10,0.13
17,"suggest",17,"11L",11,0.08
17,"reveal",3,"14L",14,0
18,"inform",12,"3H",33,0.68
18,"admit",13,"13H",8,0.71
18,"prove",2,"20L",27,0
18,"suggest",17,"11H",29,0.53
18,"acknowledge",5,"17L",15,0.49
18,"pretend",15,"6L",30,0
18,"hear",16,"15L",7,0.17
18,"think",7,"19L",4,0
18,"know",11,"18H",6,0.64
18,"be right",6,"7H",24,0
18,"confirm",4,"8H",1,0.49
18,"see",19,"1L",37,0.68
18,"say",8,"16H",17,0.18
18,"reveal",3,"4H",40,0.87
18,"demonstrate",18,"2L",10,0
18,"discover",14,"5L",38,0.77
18,"confess",20,"10H",18,0.74
18,"be annoyed",9,"12L",28,0.51
18,"announce",10,"9H",35,0.91
18,"establish",1,"14L",14,0.21
19,"know",11,"4L",12,0.81
19,"announce",10,"20H",3,0.23
19,"discover",14,"11L",11,0.51
19,"reveal",3,"2H",25,0.48
19,"say",8,"8H",1,0.51
19,"inform",12,"10L",36,0.47
19,"confess",20,"6L",30,0.73
19,"admit",13,"19H",39,0.35
19,"be right",6,"3L",9,0.33
19,"suggest",17,"15H",34,0.31
19,"prove",2,"18L",32,0.34
19,"see",19,"12H",2,0.69
19,"pretend",15,"9H",35,0.61
19,"confirm",4,"5H",20,0.25
19,"demonstrate",18,"16L",31,0.29
19,"acknowledge",5,"17H",21,0.57
19,"hear",16,"7L",19,0.59
19,"think",7,"1L",37,0.49
19,"establish",1,"13H",8,0.31
19,"be annoyed",9,"14L",14,0.39
20,"hear",16,"1H",13,0.99
20,"confirm",4,"20L",27,0
20,"admit",13,"12H",2,0
20,"be right",6,"15L",7,0
20,"say",8,"7H",24,0.1
20,"suggest",17,"6L",30,0
20,"pretend",15,"14L",14,0
20,"demonstrate",18,"5H",20,0.58
20,"reveal",3,"9H",35,0.09
20,"announce",10,"10L",36,0
20,"know",11,"18H",6,0.56
20,"discover",14,"16L",31,0.05
20,"acknowledge",5,"17H",21,0.59
20,"establish",1,"3L",9,0.01
20,"see",19,"8H",1,0.34
20,"think",7,"13L",26,0
20,"inform",12,"2H",25,0.61
20,"be annoyed",9,"4L",12,0
20,"prove",2,"11L",11,0.02
20,"confess",20,"19H",39,0.8
21,"know",11,"10H",18,0.3
21,"admit",13,"19H",39,0.7
21,"reveal",3,"9L",16,0.24
21,"announce",10,"4H",40,0.62
21,"say",8,"11L",11,0.27
21,"be right",6,"1H",13,0.99
21,"demonstrate",18,"18L",32,0.17
21,"confess",20,"2H",25,0.9
21,"suggest",17,"5L",38,0.11
21,"prove",2,"7H",24,0.5
21,"be annoyed",9,"20H",3,0.99
21,"think",7,"3H",33,0.3
21,"confirm",4,"15L",7,0.48
21,"discover",14,"16L",31,0.5
21,"establish",1,"12L",28,0.34
21,"inform",12,"17L",15,0.18
21,"pretend",15,"6L",30,0.29
21,"acknowledge",5,"13L",26,0.09
21,"hear",16,"14H",22,0.73
21,"see",19,"8H",1,0.22
22,"hear",16,"20H",3,0.91
22,"acknowledge",5,"17H",21,0.21
22,"say",8,"1H",13,0.53
22,"see",19,"8L",23,0.53
22,"discover",14,"2L",10,0.37
22,"announce",10,"10L",36,0.43
22,"establish",1,"12H",2,0.26
22,"admit",13,"14H",22,0.55
22,"demonstrate",18,"15L",7,0.3
22,"pretend",15,"18L",32,0.32
22,"confirm",4,"11H",29,0.47
22,"confess",20,"13H",8,0.34
22,"reveal",3,"6H",5,0.37
22,"suggest",17,"4L",12,0.26
22,"think",7,"3L",9,0.18
22,"prove",2,"16L",31,0.2
22,"be annoyed",9,"19H",39,0.72
22,"know",11,"9L",16,0.67
22,"inform",12,"5L",38,0.24
22,"be right",6,"7H",24,0.16
23,"discover",14,"8L",23,0.11
23,"be annoyed",9,"16L",31,0.23
23,"acknowledge",5,"11H",29,0.33
23,"say",8,"15H",34,0.42
23,"reveal",3,"20L",27,0.64
23,"inform",12,"10H",18,0.58
23,"establish",1,"9H",35,0.42
23,"see",19,"5H",20,0.63
23,"prove",2,"6H",5,0.35
23,"confirm",4,"18L",32,0.16
23,"demonstrate",18,"7L",19,0.35
23,"hear",16,"19H",39,0.71
23,"pretend",15,"1H",13,0.85
23,"know",11,"13L",26,0.11
23,"admit",13,"3H",33,0.46
23,"think",7,"17H",21,0.62
23,"suggest",17,"14L",14,0.51
23,"confess",20,"4L",12,0.44
23,"be right",6,"12L",28,0.12
23,"announce",10,"2L",10,0.34
24,"inform",12,"18H",6,0.94
24,"pretend",15,"14L",14,0.01
24,"announce",10,"8L",23,0.01
24,"confirm",4,"6H",5,0.44
24,"prove",2,"5H",20,0.46
24,"confess",20,"11L",11,0.16
24,"be right",6,"13L",26,0
24,"think",7,"16H",17,0.1
24,"be annoyed",9,"12H",2,0.89
24,"say",8,"15H",34,0.69
24,"acknowledge",5,"20H",3,0.98
24,"reveal",3,"2H",25,0.89
24,"admit",13,"9L",16,0.31
24,"know",11,"19L",4,0.99
24,"demonstrate",18,"10H",18,0.67
24,"hear",16,"3L",9,0.77
24,"see",19,"17L",15,0.9
24,"suggest",17,"1H",13,0.99
24,"establish",1,"7L",19,0.32
24,"discover",14,"4L",12,0.8
25,"say",8,"9H",35,0.22
25,"establish",1,"15H",34,0.1
25,"acknowledge",5,"5H",20,0.14
25,"reveal",3,"14H",22,0.63
25,"suggest",17,"8L",23,0.18
25,"pretend",15,"17L",15,0
25,"prove",2,"2L",10,0.11
25,"confirm",4,"6L",30,0.16
25,"be annoyed",9,"12H",2,1
25,"hear",16,"3H",33,0.82
25,"think",7,"11H",29,0.1
25,"announce",10,"10L",36,0.73
25,"know",11,"19L",4,1
25,"see",19,"1L",37,1
25,"confess",20,"18L",32,0.36
25,"admit",13,"4H",40,0.72
25,"discover",14,"13L",26,0.22
25,"demonstrate",18,"7H",24,0.16
25,"be right",6,"16L",31,0
25,"inform",12,"20H",3,0.9
26,"pretend",15,"18L",32,0.02
26,"announce",10,"12L",28,0.01
26,"be right",6,"3L",9,0.02
26,"inform",12,"15L",7,0.9
26,"see",19,"6H",5,0.99
26,"reveal",3,"9H",35,0.51
26,"acknowledge",5,"20L",27,0.5
26,"hear",16,"5H",20,0.5
26,"be annoyed",9,"4L",12,0.97
26,"establish",1,"16L",31,0.49
26,"think",7,"14H",22,0.01
26,"admit",13,"10H",18,0.99
26,"confess",20,"8L",23,0.99
26,"confirm",4,"1L",37,0.49
26,"prove",2,"2L",10,0.01
26,"say",8,"19H",39,0.01
26,"discover",14,"7H",24,0.03
26,"demonstrate",18,"13H",8,0.47
26,"suggest",17,"11H",29,0.02
26,"know",11,"17H",21,0.99
27,"acknowledge",5,"19H",39,0.9
27,"know",11,"20L",27,0.1
27,"be annoyed",9,"7H",24,0.13
27,"see",19,"6H",5,0.18
27,"confirm",4,"17L",15,0
27,"admit",13,"5L",38,0.32
27,"inform",12,"3L",9,0.29
27,"confess",20,"10L",36,0
27,"pretend",15,"9H",35,0.35
27,"say",8,"8H",1,0.78
27,"be right",6,"11L",11,0.44
27,"prove",2,"4H",40,0.66
27,"demonstrate",18,"1H",13,0.84
27,"reveal",3,"13H",8,0.97
27,"discover",14,"18L",32,0.26
27,"announce",10,"2H",25,0.51
27,"hear",16,"14L",14,0.33
27,"think",7,"15L",7,0.06
27,"suggest",17,"12H",2,0.49
27,"establish",1,"16L",31,0.03
28,"say",8,"6L",30,0.23
28,"acknowledge",5,"17H",21,0.73
28,"admit",13,"7H",24,0.66
28,"discover",14,"9L",16,0.67
28,"announce",10,"15H",34,0.78
28,"confess",20,"5L",38,0.66
28,"hear",16,"20L",27,0.24
28,"suggest",17,"19L",4,0.08
28,"establish",1,"4L",12,0.16
28,"know",11,"16H",17,0.61
28,"prove",2,"12H",2,0.32
28,"inform",12,"14L",14,0.15
28,"demonstrate",18,"18H",6,0.72
28,"pretend",15,"11H",29,0.59
28,"reveal",3,"1H",13,0.78
28,"be right",6,"8H",1,0.4
28,"be annoyed",9,"10L",36,0.15
28,"think",7,"13L",26,0.18
28,"confirm",4,"3H",33,0.63
28,"see",19,"2L",10,0.19
29,"acknowledge",5,"1L",37,0.03
29,"be right",6,"9H",35,0.04
29,"see",19,"7H",24,0
29,"inform",12,"18L",32,0.01
29,"be annoyed",9,"20H",3,1
29,"say",8,"8H",1,0
29,"establish",1,"15L",7,0.04
29,"hear",16,"6L",30,0
29,"think",7,"14L",14,0
29,"prove",2,"4H",40,0.09
29,"discover",14,"5L",38,0
29,"confirm",4,"2H",25,0.63
29,"suggest",17,"13H",8,0.93
29,"confess",20,"10L",36,0
29,"know",11,"19H",39,0.98
29,"admit",13,"17H",21,0.78
29,"announce",10,"11L",11,0.03
29,"demonstrate",18,"12L",28,0
29,"pretend",15,"16L",31,0
29,"reveal",3,"3H",33,0.98
30,"admit",13,"6L",30,0.01
30,"demonstrate",18,"16H",17,0.01
30,"acknowledge",5,"10H",18,0.51
30,"think",7,"12H",2,0.02
30,"reveal",3,"8L",23,0.03
30,"know",11,"4L",12,0.96
30,"be annoyed",9,"17H",21,0.98
30,"announce",10,"5L",38,0.01
30,"hear",16,"15H",34,0.96
30,"suggest",17,"7H",24,0
30,"confess",20,"20L",27,0
30,"confirm",4,"3H",33,0.01
30,"discover",14,"18L",32,0.99
30,"see",19,"9L",16,0.96
30,"inform",12,"2H",25,0.98
30,"prove",2,"1L",37,0.02
30,"be right",6,"13L",26,0.01
30,"establish",1,"14L",14,0.02
30,"say",8,"11H",29,0.03
30,"pretend",15,"19H",39,0.02
31,"demonstrate",18,"2H",25,0.01
31,"see",19,"17L",15,0.93
31,"confess",20,"7L",19,0.99
31,"be annoyed",9,"10H",18,0.98
31,"admit",13,"14H",22,0.99
31,"be right",6,"15H",34,0.03
31,"announce",10,"16L",31,0.96
31,"reveal",3,"6H",5,0.96
31,"establish",1,"8L",23,0.03
31,"inform",12,"11H",29,0.93
31,"discover",14,"20H",3,0.98
31,"say",8,"9H",35,0.45
31,"pretend",15,"1H",13,0.01
31,"hear",16,"5L",38,0.97
31,"acknowledge",5,"12L",28,0.24
31,"suggest",17,"19L",4,0.13
31,"think",7,"18L",32,0.04
31,"confirm",4,"4H",40,0.72
31,"prove",2,"3L",9,0.51
31,"know",11,"13L",26,0.55
32,"see",19,"5H",20,0.91
32,"confirm",4,"13H",8,0.32
32,"be annoyed",9,"2L",10,0.7
32,"hear",16,"6H",5,0.64
32,"admit",13,"8L",23,0.36
32,"discover",14,"7H",24,0.6
32,"prove",2,"1H",13,0.74
32,"say",8,"9L",16,0.21
32,"know",11,"15H",34,0.67
32,"suggest",17,"20H",3,0.79
32,"establish",1,"17L",15,0.08
32,"be right",6,"18H",6,0.38
32,"pretend",15,"10L",36,0.06
32,"acknowledge",5,"12L",28,0.11
32,"demonstrate",18,"3L",9,0.12
32,"confess",20,"4H",40,0.38
32,"inform",12,"14L",14,0.05
32,"reveal",3,"11L",11,0.4
32,"announce",10,"16H",17,0.59
32,"think",7,"19L",4,0
33,"think",7,"4H",40,0.21
33,"prove",2,"12L",28,0.01
33,"establish",1,"20L",27,0
33,"confirm",4,"2L",10,0
33,"announce",10,"16H",17,0.79
33,"inform",12,"19L",4,0.99
33,"acknowledge",5,"8H",1,1
33,"say",8,"11L",11,0
33,"pretend",15,"1L",37,0.01
33,"discover",14,"13L",26,1
33,"know",11,"9H",35,1
33,"hear",16,"17L",15,1
33,"confess",20,"3H",33,1
33,"admit",13,"7H",24,1
33,"reveal",3,"10H",18,1
33,"see",19,"5L",38,1
33,"be right",6,"6H",5,0
33,"suggest",17,"18H",6,0.17
33,"demonstrate",18,"14L",14,0.27
33,"be annoyed",9,"15H",34,1
34,"discover",14,"20L",27,0
34,"hear",16,"13H",8,0.5
34,"see",19,"2H",25,0.27
34,"be annoyed",9,"8H",1,1
34,"think",7,"3L",9,0
34,"confirm",4,"12H",2,0
34,"inform",12,"16L",31,0
34,"demonstrate",18,"17L",15,0
34,"suggest",17,"14H",22,0
34,"reveal",3,"11L",11,1
34,"pretend",15,"1H",13,0
34,"announce",10,"4L",12,0
34,"prove",2,"6L",30,0
34,"be right",6,"10H",18,0
34,"confess",20,"15H",34,1
34,"admit",13,"7H",24,0
34,"say",8,"18L",32,0
34,"know",11,"9L",16,0.5
34,"acknowledge",5,"5L",38,0.49
34,"establish",1,"19H",39,0
35,"reveal",3,"8L",23,1
35,"confirm",4,"6H",5,0.04
35,"admit",13,"15L",7,0.4
35,"demonstrate",18,"9L",16,0.09
35,"confess",20,"12L",28,0
35,"prove",2,"5L",38,0.17
35,"be right",6,"17H",21,0.64
35,"acknowledge",5,"18H",6,0.55
35,"say",8,"4H",40,0.37
35,"think",7,"11H",29,0.84
35,"inform",12,"1L",37,0.08
35,"announce",10,"3L",9,0.35
35,"see",19,"19H",39,0.84
35,"know",11,"2L",10,0
35,"hear",16,"20H",3,0.52
35,"pretend",15,"10H",18,0.5
35,"discover",14,"13H",8,0.73
35,"be annoyed",9,"7L",19,0.21
35,"suggest",17,"16H",17,0.52
35,"establish",1,"14L",14,0.51
36,"discover",14,"2H",25,0.43
36,"know",11,"18L",32,0.19
36,"inform",12,"5H",20,0.52
36,"pretend",15,"15L",7,0.43
36,"reveal",3,"1L",37,0.09
36,"confirm",4,"13L",26,0.62
36,"confess",20,"8H",1,0.11
36,"acknowledge",5,"3L",9,0.06
36,"say",8,"16H",17,0.27
36,"announce",10,"19H",39,0.87
36,"admit",13,"11L",11,0.05
36,"demonstrate",18,"9H",35,0.14
36,"hear",16,"12L",28,0.38
36,"suggest",17,"14L",14,0.26
36,"establish",1,"7H",24,0.04
36,"be annoyed",9,"4H",40,0.09
36,"think",7,"6H",5,0.14
36,"prove",2,"17L",15,0.08
36,"see",19,"10H",18,0.48
36,"be right",6,"20L",27,0.14
37,"reveal",3,"18L",32,0.94
37,"demonstrate",18,"13H",8,0.53
37,"pretend",15,"20H",3,0.11
37,"know",11,"14L",14,0.99
37,"be annoyed",9,"6H",5,0.95
37,"announce",10,"16L",31,0.96
37,"prove",2,"15L",7,0.07
37,"confess",20,"8L",23,0.02
37,"hear",16,"9H",35,0.97
37,"confirm",4,"2H",25,0.97
37,"think",7,"19H",39,0.51
37,"acknowledge",5,"7L",19,0.04
37,"admit",13,"5L",38,0.88
37,"discover",14,"1L",37,0.22
37,"be right",6,"10L",36,0.19
37,"suggest",17,"3H",33,0.03
37,"say",8,"4L",12,0.01
37,"establish",1,"11H",29,0.04
37,"inform",12,"12H",2,0.05
37,"see",19,"17H",21,0.28
38,"be annoyed",9,"13H",8,0.8
38,"admit",13,"14L",14,0.48
38,"discover",14,"5H",20,0.51
38,"see",19,"9L",16,0.47
38,"establish",1,"8H",1,0.22
38,"think",7,"3H",33,0.46
38,"be right",6,"16H",17,0.47
38,"confirm",4,"6H",5,0.33
38,"acknowledge",5,"17L",15,0.28
38,"hear",16,"12H",2,0.46
38,"demonstrate",18,"15H",34,0.24
38,"pretend",15,"18L",32,0.43
38,"prove",2,"1L",37,0.15
38,"announce",10,"2L",10,0.46
38,"confess",20,"11L",11,0.46
38,"say",8,"4L",12,0.11
38,"know",11,"19H",39,0.8
38,"suggest",17,"7L",19,0.38
38,"inform",12,"20H",3,0.18
38,"reveal",3,"10L",36,0.04
39,"pretend",15,"9L",16,0.03
39,"discover",14,"10H",18,0.85
39,"reveal",3,"7L",19,0.01
39,"admit",13,"2L",10,0.7
39,"think",7,"1H",13,0.98
39,"be right",6,"16L",31,0.02
39,"confess",20,"6L",30,0.8
39,"announce",10,"4L",12,0
39,"establish",1,"18H",6,0.09
